Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","6,579.40","6,627.30","6,687.80","6,565.20",235.11M,-3.04%
"Mar 31, 2020","6,785.40","6,746.80","6,802.00","6,624.70",258.18M,1.88%
"Mar 30, 2020","6,659.90","6,748.60","6,789.10","6,507.00",232.01M,-1.74%
"Mar 27, 2020","6,777.90","6,916.70","6,936.70","6,661.90",225.32M,-3.63%
"Mar 26, 2020","7,033.20","6,789.00","7,033.20","6,759.10",248.81M,1.31%
"Mar 25, 2020","6,942.40","6,985.90","7,058.10","6,625.80",322.63M,3.35%
"Mar 24, 2020","6,717.30","6,433.30","6,717.30","6,403.60",301.21M,7.82%
"Mar 23, 2020","6,230.20","6,223.70","6,472.00","6,148.00",282.03M,-3.31%
"Mar 20, 2020","6,443.30","6,645.40","6,769.90","6,371.10",486.80M,0.74%
"Mar 19, 2020","6,395.80","6,368.20","6,506.40","6,228.30",346.23M,1.93%
"Mar 18, 2020","6,274.80","6,370.50","6,524.20","6,174.10",398.61M,-3.44%
"Mar 17, 2020","6,498.50","6,444.50","6,557.30","6,083.00",388.45M,6.41%
"Mar 16, 2020","6,107.20","6,331.00","6,362.50","5,814.50",583.61M,-7.88%
"Mar 13, 2020","6,629.60","6,763.70","7,140.50","6,468.30",473.17M,3.74%
"Mar 12, 2020","6,390.90","7,040.80","7,077.70","6,347.00",723.61M,-14.06%
"Mar 11, 2020","7,436.40","7,589.30","7,717.10","7,364.60",369.15M,-0.34%
"Mar 10, 2020","7,461.50","7,815.60","8,007.70","7,440.60",506.03M,-3.21%
"Mar 09, 2020","7,708.70","7,884.00","8,022.90","7,621.40",598.77M,-7.96%
"Mar 06, 2020","8,375.60","8,532.60","8,542.00","8,310.40",345.90M,-3.54%
"Mar 05, 2020","8,683.00","8,960.80","8,962.50","8,639.90",342.80M,-2.55%
"Mar 04, 2020","8,910.00","8,827.80","8,963.70","8,745.90",321.26M,1.12%
"Mar 03, 2020","8,811.60","8,860.20","9,014.30","8,776.40",351.22M,0.80%
"Mar 02, 2020","8,741.50","8,910.20","8,913.50","8,541.10",355.48M,0.21%
"Feb 28, 2020","8,723.20","8,748.10","8,818.60","8,582.70",497.98M,-2.92%
"Feb 27, 2020","8,985.90","9,182.20","9,204.40","8,877.40",341.79M,-3.55%
"Feb 26, 2020","9,316.80","9,213.00","9,362.80","9,030.70",299.26M,0.71%
"Feb 25, 2020","9,250.80","9,507.00","9,518.90","9,248.00",263.35M,-2.45%
"Feb 24, 2020","9,483.50","9,649.80","9,676.80","9,459.60",256.06M,-4.07%
"Feb 21, 2020","9,886.20","9,893.00","9,946.40","9,843.50",194.95M,-0.45%
"Feb 20, 2020","9,931.00","10,048.70","10,050.30","9,931.00",178.85M,-1.51%
"Feb 19, 2020","10,083.60","10,042.00","10,100.20","10,020.70",151.87M,0.78%
"Feb 18, 2020","10,005.80","9,977.40","10,041.50","9,967.80",184.04M,-0.16%
"Feb 17, 2020","10,022.20","9,979.20","10,022.20","9,955.20",105.78M,0.66%
"Feb 14, 2020","9,956.80","9,910.90","9,969.70","9,905.20",127.06M,0.47%
"Feb 13, 2020","9,909.80","9,893.90","9,910.10","9,794.30",161.75M,-0.31%
"Feb 12, 2020","9,940.40","9,897.90","9,946.60","9,888.60",199.83M,0.58%
"Feb 11, 2020","9,882.60","9,863.40","9,884.00","9,817.80",167.63M,0.68%
"Feb 10, 2020","9,816.00","9,790.60","9,820.40","9,773.50",132.13M,0.05%
"Feb 07, 2020","9,811.00","9,789.30","9,816.20","9,761.80",179.59M,0.00%
"Feb 06, 2020","9,811.30","9,767.10","9,816.20","9,757.00",248.42M,0.96%
"Feb 05, 2020","9,717.80","9,553.40","9,721.90","9,540.20",221.92M,1.62%
"Feb 04, 2020","9,562.90","9,465.90","9,577.30","9,462.40",174.13M,1.68%
"Feb 03, 2020","9,404.70","9,404.40","9,431.60","9,361.50",168.67M,0.39%
"Jan 31, 2020","9,367.90","9,519.30","9,545.10","9,365.10",303.55M,-1.16%
"Jan 30, 2020","9,477.90","9,460.80","9,528.40","9,439.30",164.09M,-0.72%
"Jan 29, 2020","9,546.70","9,532.70","9,574.30","9,510.70",187.15M,0.66%
"Jan 28, 2020","9,484.20","9,401.80","9,488.00","9,363.80",154.92M,1.26%
"Jan 27, 2020","9,366.30","9,447.10","9,482.80","9,357.80",164.52M,-2.05%
