Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","8,253.80","8,584.10","8,588.10","8,198.35",506.34M,-4.00%
"Mar 31, 2020","8,597.75","8,529.35","8,678.30","8,358.00",712.66M,3.82%
"Mar 30, 2020","8,281.10","8,385.95","8,576.00","8,244.00",593.25M,-4.38%
"Mar 27, 2020","8,660.25","8,949.10","9,038.90","8,522.90",801.45M,0.22%
"Mar 26, 2020","8,641.45","8,451.00","8,749.05","8,304.90",865.59M,3.89%
"Mar 25, 2020","8,317.85","7,735.15","8,376.75","7,714.75",736.87M,6.62%
"Mar 24, 2020","7,801.05","7,848.30","8,036.95","7,511.10",738.43M,2.51%
"Mar 23, 2020","7,610.25","7,945.70","8,159.25","7,583.60",653.54M,-12.98%
"Mar 20, 2020","8,745.45","8,284.45","8,883.00","8,178.20",1.07B,5.83%
"Mar 19, 2020","8,263.45","8,063.30","8,575.45","7,832.55",925.72M,-2.42%
"Mar 18, 2020","8,468.80","9,088.45","9,127.55","8,407.05",1.52B,-5.56%
"Mar 17, 2020","8,967.05","9,285.40","9,403.80","8,915.60",935.62M,-2.50%
"Mar 16, 2020","9,197.40","9,587.80","9,602.20","9,165.10",897.73M,-7.61%
"Mar 13, 2020","9,955.20","9,107.60","10,159.40","8,555.15",1.39B,3.81%
"Mar 12, 2020","9,590.15","10,039.95","10,040.75","9,508.00",1.34B,-8.30%
"Mar 11, 2020","10,458.40","10,334.30","10,545.10","10,334.00",1.22B,0.07%
"Mar 09, 2020","10,451.45","10,742.05","10,751.55","10,294.45",1.57B,-4.90%
"Mar 06, 2020","10,989.45","10,942.65","11,035.10","10,827.40",1.81B,-2.48%
"Mar 05, 2020","11,269.00","11,306.05","11,389.50","11,244.60",1.35B,0.16%
"Mar 04, 2020","11,251.00","11,351.35","11,356.60","11,082.15",797.65M,-0.46%
"Mar 03, 2020","11,303.30","11,217.55","11,342.25","11,152.55",696.52M,1.53%
"Mar 02, 2020","11,132.75","11,387.35","11,433.00","11,036.25",680.80M,-0.62%
"Feb 28, 2020","11,201.75","11,382.00","11,384.80","11,175.05",809.90M,-3.71%
"Feb 27, 2020","11,633.30","11,661.25","11,663.85","11,536.70",608.61M,-0.39%
"Feb 26, 2020","11,678.50","11,738.55","11,783.25","11,639.60",567.63M,-1.01%
"Feb 25, 2020","11,797.90","11,877.50","11,883.05","11,779.90",461.00M,-0.27%
"Feb 24, 2020","11,829.40","12,012.55","12,012.55","11,813.40",490.80M,-2.08%
"Feb 20, 2020","12,080.85","12,119.00","12,152.00","12,071.45",502.61M,-0.37%
"Feb 19, 2020","12,125.90","12,090.60","12,134.70","12,042.10",513.57M,1.11%
"Feb 18, 2020","11,992.50","12,028.25","12,030.75","11,908.05",676.85M,-0.44%
"Feb 17, 2020","12,045.80","12,131.80","12,159.60","12,037.00",455.19M,-0.56%
"Feb 14, 2020","12,113.45","12,190.15","12,246.70","12,091.20",622.78M,-0.50%
"Feb 13, 2020","12,174.65","12,219.55","12,225.65","12,139.80",501.19M,-0.22%
"Feb 12, 2020","12,201.20","12,151.00","12,231.75","12,144.30",411.73M,0.77%
"Feb 11, 2020","12,107.90","12,108.40","12,172.30","12,099.00",479.98M,0.64%
"Feb 10, 2020","12,031.50","12,102.35","12,103.55","11,990.75",524.71M,-0.55%
"Feb 07, 2020","12,098.35","12,151.15","12,154.70","12,073.95",473.48M,-0.33%
"Feb 06, 2020","12,137.95","12,120.00","12,160.60","12,084.65",565.12M,0.40%
"Feb 05, 2020","12,089.15","12,005.85","12,098.15","11,953.35",758.03M,0.91%
"Feb 04, 2020","11,979.65","11,786.25","11,986.15","11,783.40",560.43M,2.32%
"Feb 03, 2020","11,707.90","11,627.45","11,749.85","11,614.50",669.82M,0.39%
"Feb 01, 2020","11,661.85","11,939.00","12,017.35","11,633.30",537.63M,-2.51%
"Jan 31, 2020","11,962.10","12,100.40","12,103.55","11,945.85",771.28M,-0.61%
"Jan 30, 2020","12,035.80","12,147.75","12,150.30","12,010.60",538.14M,-0.77%
"Jan 29, 2020","12,129.50","12,114.90","12,169.60","12,103.80",514.36M,0.61%
"Jan 28, 2020","12,055.80","12,148.10","12,163.55","12,024.50",478.48M,-0.52%
"Jan 27, 2020","12,119.00","12,197.10","12,216.60","12,107.00",441.16M,-1.06%
"Jan 24, 2020","12,248.25","12,174.55","12,272.15","12,149.65",593.24M,0.56%
"Jan 23, 2020","12,180.35","12,123.75","12,189.00","12,094.10",867.65M,0.61%
"Jan 22, 2020","12,106.90","12,218.35","12,225.05","12,087.90",526.30M,-0.52%
"Jan 21, 2020","12,169.85","12,195.30","12,230.05","12,162.30",443.98M,-0.45%
"Jan 20, 2020","12,224.55","12,430.50","12,430.50","12,216.90",491.61M,-1.03%
"Jan 17, 2020","12,352.35","12,328.40","12,385.45","12,321.40",502.06M,-0.03%
"Jan 16, 2020","12,355.50","12,347.10","12,389.05","12,315.80",395.67M,0.10%
"Jan 15, 2020","12,343.30","12,349.40","12,355.15","12,278.75",684.35M,-0.15%
"Jan 14, 2020","12,362.30","12,333.10","12,374.25","12,308.70",616.26M,0.27%
"Jan 13, 2020","12,329.55","12,296.70","12,337.75","12,285.80",500.97M,0.59%
"Jan 10, 2020","12,256.80","12,271.00","12,311.20","12,213.20",660.63M,0.33%
"Jan 09, 2020","12,215.90","12,153.15","12,224.05","12,132.55",477.47M,1.58%
"Jan 08, 2020","12,025.35","11,939.10","12,044.95","11,929.60",445.99M,-0.23%
"Jan 07, 2020","12,052.95","12,079.10","12,152.15","12,005.35",447.82M,0.50%
